r_ijk_x   r_ijk_y   r_ijk_z
1.20999e+06 1.20999e+06 6.12343e+06
1.02042e+06 1.02042e+06 6.20362e+06
1.55588e+06 1.05368e+06 6.08334e+06
1.05368e+06 1.55588e+06 6.08334e+06
1.32176e+06 1.32176e+06 6.07616e+06
1.00607e+06 1.30215e+06 6.14707e+06
1.30215e+06 1.00607e+06 6.14707e+06
641041 1.32353e+06 6.18103e+06
847534 1.05491e+06 6.22112e+06
880802 1.59038e+06 6.10084e+06
194786 1.32529e+06 6.22112e+06
519298 1.4819e+06 6.15739e+06
499684 1.1662e+06 6.22831e+06
904140 1.32249e+06 6.15739e+06
312556 976803 6.27344e+06
747721 949559 6.2492e+06
94973 1.21994e+06 6.2492e+06
94973 760916 6.3219e+06
55993.6 992866 6.28772e+06
440836 833459 6.28772e+06
440836 1.10408e+06 6.24486e+06
534783 534783 6.30825e+06
815247 815247 6.25978e+06
162499 626604 6.33248e+06
626604 162499 6.33248e+06
369429 369429 6.33682e+06
754272 480648 6.29396e+06
480648 754272 6.29396e+06
976803 312556 6.27344e+06
949559 747721 6.2492e+06
760916 94973 6.3219e+06
1.21994e+06 94973 6.2492e+06
992866 55993.6 6.28772e+06
1.10408e+06 440836 6.24486e+06
833459 440836 6.28772e+06
-6.27744e+66 -6.27744e+66 -6.27744e+66
-6.27744e+66 -6.27744e+66 -6.27744e+66
-6.27744e+66 -6.27744e+66 -6.27744e+66
-6.27744e+66 -6.27744e+66 -6.27744e+66
-6.27744e+66 -6.27744e+66 -6.27744e+66
-6.27744e+66 -6.27744e+66 -6.27744e+66
-6.27744e+66 -6.27744e+66 -6.27744e+66
641041 1.32353e+06 6.18103e+06
194786 1.32529e+06 6.22112e+06
847534 1.05491e+06 6.22112e+06
880802 1.59038e+06 6.10084e+06
904140 1.32249e+06 6.15739e+06
519298 1.4819e+06 6.15739e+06
499684 1.1662e+06 6.22831e+06
328485 1.66795e+06 6.12344e+06
99813.3 1.42995e+06 6.20363e+06
785829 1.69503e+06 6.08334e+06
99813.3 1.87886e+06 6.08335e+06
463304 1.80826e+06 6.07617e+06
58847.3 1.65197e+06 6.14708e+06
463304 1.5436e+06 6.14707e+06
-328489 1.66795e+06 6.12347e+06
-99814.6 1.42995e+06 6.20363e+06
-99814.6 1.87886e+06 6.08336e+06
-785839 1.69505e+06 6.0834e+06
-463310 1.80827e+06 6.0762e+06
-463310 1.54361e+06 6.14711e+06
-58848.1 1.65198e+06 6.14709e+06
-641045 1.32354e+06 6.18106e+06
-194788 1.32529e+06 6.22113e+06
-880812 1.5904e+06 6.1009e+06
-847535 1.05492e+06 6.22113e+06
-904147 1.3225e+06 6.15743e+06
-499685 1.1662e+06 6.22831e+06
-519304 1.48191e+06 6.15743e+06
-312556 976803 6.27344e+06
-94973 1.21994e+06 6.2492e+06
-747721 949559 6.2492e+06
-94973 760916 6.3219e+06
-440836 833459 6.28772e+06
-55993.6 992866 6.28772e+06
-440836 1.10408e+06 6.24486e+06
312556 976803 6.27344e+06
94973 1.21994e+06 6.2492e+06
94973 760916 6.3219e+06
747721 949559 6.2492e+06
440836 833459 6.28772e+06
440836 1.10408e+06 6.24486e+06
55993.6 992866 6.28772e+06
-6.27744e+66 -6.27744e+66 -6.27744e+66
-6.27744e+66 -6.27744e+66 -6.27744e+66
-6.27744e+66 -6.27744e+66 -6.27744e+66
-6.27744e+66 -6.27744e+66 -6.27744e+66
-6.27744e+66 -6.27744e+66 -6.27744e+66
-6.27744e+66 -6.27744e+66 -6.27744e+66
-6.27744e+66 -6.27744e+66 -6.27744e+66
-641045 1.32354e+06 6.18106e+06
-847535 1.05492e+06 6.22113e+06
-194788 1.32529e+06 6.22113e+06
-880812 1.5904e+06 6.1009e+06
-519304 1.48191e+06 6.15743e+06
-904147 1.3225e+06 6.15743e+06
-499685 1.1662e+06 6.22831e+06
-1.21e+06 1.21e+06 6.12346e+06
-1.02042e+06 1.02042e+06 6.20363e+06
-1.05369e+06 1.5559e+06 6.0834e+06
-1.55588e+06 1.05369e+06 6.08335e+06
-1.32177e+06 1.32177e+06 6.0762e+06
-1.30215e+06 1.00607e+06 6.14708e+06
-1.00607e+06 1.30216e+06 6.14711e+06
-1.32353e+06 641041 6.18103e+06
-1.05491e+06 847534 6.22112e+06
-1.59038e+06 880802 6.10084e+06
-1.32529e+06 194786 6.22112e+06
-1.4819e+06 519298 6.15739e+06
-1.1662e+06 499684 6.22831e+06
-1.32249e+06 904141 6.15739e+06
-976803 312556 6.27344e+06
-949559 747721 6.2492e+06
-1.21994e+06 94973 6.2492e+06
-760916 94973 6.3219e+06
-992866 55993.6 6.28772e+06
-833459 440836 6.28772e+06
-1.10408e+06 440836 6.24486e+06
-534783 534783 6.30825e+06
-815247 815247 6.25978e+06
-626604 162499 6.33248e+06
-162499 626604 6.33248e+06
-369429 369429 6.33682e+06
-480648 754272 6.29396e+06
-754272 480648 6.29396e+06
-312556 976803 6.27344e+06
-747721 949559 6.2492e+06
-94973 760916 6.3219e+06
-94973 1.21994e+06 6.2492e+06
-55993.6 992866 6.28772e+06
-440836 1.10408e+06 6.24486e+06
-440836 833459 6.28772e+06
-6.27744e+66 -6.27744e+66 -6.27744e+66
-6.27744e+66 -6.27744e+66 -6.27744e+66
-6.27744e+66 -6.27744e+66 -6.27744e+66
-6.27744e+66 -6.27744e+66 -6.27744e+66
-6.27744e+66 -6.27744e+66 -6.27744e+66
-6.27744e+66 -6.27744e+66 -6.27744e+66
-6.27744e+66 -6.27744e+66 -6.27744e+66
-1.32353e+06 641041 6.18103e+06
-1.32529e+06 194786 6.22112e+06
-1.05491e+06 847534 6.22112e+06
-1.59038e+06 880802 6.10084e+06
-1.32249e+06 904141 6.15739e+06
-1.4819e+06 519298 6.15739e+06
-1.1662e+06 499684 6.22831e+06
-1.66794e+06 328485 6.12343e+06
-1.42995e+06 99813.4 6.20362e+06
-1.69503e+06 785829 6.08334e+06
-1.87885e+06 99813.4 6.08334e+06
-1.80826e+06 463304 6.07616e+06
-1.65197e+06 58847.3 6.14707e+06
-1.5436e+06 463304 6.14707e+06
-1.66794e+06 -328485 6.12343e+06
-1.42995e+06 -99813.3 6.20362e+06
-1.87885e+06 -99813.3 6.08334e+06
-1.69503e+06 -785829 6.08334e+06
-1.80826e+06 -463304 6.07616e+06
-1.5436e+06 -463304 6.14707e+06
-1.65197e+06 -58847.3 6.14707e+06
-1.32353e+06 -641041 6.18103e+06
-1.32529e+06 -194786 6.22112e+06
-1.59038e+06 -880802 6.10084e+06
-1.05491e+06 -847534 6.22112e+06
-1.32249e+06 -904140 6.15739e+06
-1.1662e+06 -499684 6.22831e+06
-1.4819e+06 -519298 6.15739e+06
-976803 -312556 6.27344e+06
-1.21994e+06 -94973 6.2492e+06
