nt_x   nt_y   nt_z   A_t
-6.27744e+66 -6.27744e+66 -6.27744e+66 -6.27744e+66
-0.0870738 0.325203 0.941627 3.62073e+11
-0.211951 0.317824 0.924156 3.16456e+11
-0.230944 0.230832 0.945189 3.72767e+11
-0.202633 0.202521 0.958084 3.07588e+11
-0.0882248 0.212994 0.973062 3.80157e+11
-0.0691125 0.258171 0.963624 3.29737e+11
-6.27744e+66 -6.27744e+66 -6.27744e+66 -6.27744e+66
-0.230944 0.230832 0.945189 3.72767e+11
-0.317497 0.211938 0.924272 3.16458e+11
-0.324876 0.0870474 0.941742 3.62075e+11
-0.258199 0.0691814 0.963612 3.29734e+11
-0.21309 0.0882649 0.973037 3.80154e+11
-0.202633 0.202521 0.958084 3.07588e+11
-6.27744e+66 -6.27744e+66 -6.27744e+66 -6.27744e+66
-0.324876 0.0870474 0.941742 3.62075e+11
-0.356987 0.0707883 0.931423 3.32249e+11
-0.356976 -0.0711992 0.931396 3.32237e+11
-0.325398 -0.08719 0.941549 3.6206e+11
-0.258199 -0.0691842 0.963611 3.29734e+11
-0.258199 0.0691814 0.963612 3.29734e+11
-6.27744e+66 -6.27744e+66 -6.27744e+66 -6.27744e+66
-0.325398 -0.08719 0.941549 3.6206e+11
-0.317998 -0.212271 0.924023 3.16434e+11
-0.231222 -0.231222 0.945025 3.72746e+11
-0.202625 -0.202625 0.958064 3.07585e+11
-0.213094 -0.0882663 0.973037 3.80153e+11
-0.258199 -0.0691842 0.963611 3.29734e+11
-6.27744e+66 -6.27744e+66 -6.27744e+66 -6.27744e+66
-0.231222 -0.231222 0.945025 3.72746e+11
-0.212345 -0.317677 0.924116 3.16441e+11
-0.087116 -0.325086 0.941663 3.62069e+11
-0.0691899 -0.258185 0.963615 3.29734e+11
-0.0882663 -0.213094 0.973037 3.80153e+11
-0.202625 -0.202625 0.958064 3.07585e+11
-6.27744e+66 -6.27744e+66 -6.27744e+66 -6.27744e+66
-0.087116 -0.325086 0.941663 3.62069e+11
-0.0707706 -0.357362 0.931281 3.32233e+11
0.0710533 -0.357355 0.931262 3.32225e+11
0.0872128 -0.325448 0.941529 3.62058e+11
0.0691899 -0.258185 0.963615 3.29734e+11
-0.0691899 -0.258185 0.963615 3.29734e+11
-6.27744e+66 -6.27744e+66 -6.27744e+66 -6.27744e+66
0.0872128 -0.325448 0.941529 3.62058e+11
0.209689 -0.318256 0.924524 3.16499e+11
0.228712 -0.231217 0.945637 3.72914e+11
0.203097 -0.205603 0.957329 3.07738e+11
0.0869596 -0.216216 0.972465 3.80265e+11
0.0691899 -0.258185 0.963615 3.29734e+11
-6.27744e+66 -6.27744e+66 -6.27744e+66 -6.27744e+66
0.228712 -0.231217 0.945637 3.72914e+11
0.320603 -0.211143 0.923381 3.16568e+11
0.327953 -0.0860421 0.940768 3.62138e+11
0.258231 -0.0673598 0.963732 3.29786e+11
0.214049 -0.0860619 0.973024 3.80336e+11
0.203097 -0.205603 0.957329 3.07738e+11
-6.27744e+66 -6.27744e+66 -6.27744e+66 -6.27744e+66
0.429323 -0.0853788 0.899106 3.50437e+11
0.452821 -0.0717199 0.888712 3.29793e+11
0.452822 0.0716947 0.888714 3.29794e+11
0.429372 0.0853263 0.899088 3.50441e+11
0.357463 0.0710228 0.931223 3.3222e+11
0.357461 -0.0710846 0.931219 3.32218e+11
-6.27744e+66 -6.27744e+66 -6.27744e+66 -6.27744e+66
0.429372 0.0853263 0.899088 3.50441e+11
0.422102 0.214889 0.880712 3.19235e+11
0.35471 0.237048 0.904428 3.59415e+11
0.318069 0.212566 0.923931 3.16423e+11
0.325492 0.0872153 0.941514 3.62057e+11
0.357463 0.0710228 0.931223 3.3222e+11
-6.27744e+66 -6.27744e+66 -6.27744e+66 -6.27744e+66
0.35471 0.237048 0.904428 3.59415e+11
0.338499 0.338505 0.877971 3.1573e+11
0.236988 0.354723 0.904438 3.59413e+11
0.212548 0.318146 0.923908 3.16422e+11
0.23148 0.23148 0.944899 3.72734e+11
0.318069 0.212566 0.923931 3.16423e+11
-6.27744e+66 -6.27744e+66 -6.27744e+66 -6.27744e+66
0.236988 0.354723 0.904438 3.59413e+11
0.21487 0.421992 0.880769 3.19233e+11
0.0856571 0.429251 0.899114 3.50448e+11
0.0712999 0.357073 0.931351 3.32232e+11
0.0872555 0.325565 0.941485 3.62055e+11
0.212548 0.318146 0.923908 3.16422e+11
-6.27744e+66 -6.27744e+66 -6.27744e+66 -6.27744e+66
0.0856571 0.429251 0.899114 3.50448e+11
0.0718245 0.453048 0.888588 3.29809e+11
-0.0715512 0.453057 0.888606 3.29817e+11
-0.0853126 0.429386 0.899083 3.50474e+11
-0.0709305 0.357082 0.931376 3.32242e+11
0.0712999 0.357073 0.931351 3.32232e+11
-6.27744e+66 -6.27744e+66 -6.27744e+66 -6.27744e+66
-0.0853126 0.429386 0.899083 3.50474e+11
-0.214831 0.422121 0.880717 3.19267e+11
-0.236869 0.355117 0.904315 3.59466e+11
-0.211951 0.317824 0.924156 3.16456e+11
-0.0870738 0.325203 0.941627 3.62073e+11
-0.0709305 0.357082 0.931376 3.32242e+11
-6.27744e+66 -6.27744e+66 -6.27744e+66 -6.27744e+66
-0.236869 0.355117 0.904315 3.59466e+11
-0.338774 0.338833 0.877738 3.15781e+11
-0.355047 0.237028 0.904301 3.59474e+11
-0.317497 0.211938 0.924272 3.16458e+11
-0.230944 0.230832 0.945189 3.72767e+11
-0.211951 0.317824 0.924156 3.16456e+11
-6.27744e+66 -6.27744e+66 -6.27744e+66 -6.27744e+66
-0.355047 0.237028 0.904301 3.59474e+11
-0.422347 0.21489 0.880594 3.19274e+11
-0.429619 0.0852358 0.898978 3.50484e+11
-0.356987 0.0707883 0.931423 3.32249e+11
-0.324876 0.0870474 0.941742 3.62075e+11
-0.317497 0.211938 0.924272 3.16458e+11
-6.27744e+66 -6.27744e+66 -6.27744e+66 -6.27744e+66
-0.429619 0.0852358 0.898978 3.50484e+11
-0.453289 0.0714723 0.888493 3.29813e+11
-0.453279 -0.0717848 0.888473 3.29804e+11
-0.42948 -0.085621 0.899008 3.50454e+11
-0.356976 -0.0711992 0.931396 3.32237e+11
-0.356987 0.0707883 0.931423 3.32249e+11
-6.27744e+66 -6.27744e+66 -6.27744e+66 -6.27744e+66
-0.42948 -0.085621 0.899008 3.50454e+11
-0.422199 -0.215121 0.880609 3.19232e+11
